SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,
21/05/1985 09:00,,,1.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/05/1985 09:00,,,7.6,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,7,(vco),,,,,
25/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2.5,(vco),,,,,
26/05/1985 09:00,,,1.2,(vco),,,,,,,,,,,,,,,,,,,,,,,3.5,(vco),,,,,,,4.9,(vco),,,,,,,,,,,,,,,3,(vco),,,,,
27/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,17,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,5,(vco),,,,,
28/05/1985 09:00,,,3.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.7,(vco),,,,,
29/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,8,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2.5,(vco),,,,,
30/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.5,(vco),,,,,,,,,,,,,,,4,(vco),,,,,
31/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1,(vco),,,,,
01/06/1985 09:00,,,3.5,(vco),,,,,,,,,,,,,,,,,,,,,,,20,(vco),,,,,,,20,(vco),,,,,,,,,,,,,,,8,(vco),,,,,
02/06/1985 09:00,,,7.3,(vco),,,,,,,,,,,,,,,,,,,,,,,19,(vco),,,,,,,2.5,(vco),,,,,,,,,,,,,,,10,(vco),,,,,
03/06/1985 09:00,,,2.4,(vco),,,,,,,,,,,,,,,,,,,,,,,19.5,(vco),,,,,,,2.2,(vco),,,,,,,,,,,,,,,9.5,(vco),,,,,
04/06/1985 09:00,,,1.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,12,(vco),,,,,
05/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,14,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,11.5,(vco),,,,,
06/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,9.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,16.5,(vco),,,,,
07/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1.3,(vco),,,,,,,,,,,,,,,12,(vco),,,,,
08/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,10,(vco),,,,,
09/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2,(vco),,,,,
10/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,4,(vco),,,,,
22/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/06/1985 09:00,,,2.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,11.5,(vco),,,,,
03/07/1985 09:00,,,11.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,3,(vco),,,,,,,,,,,,,,,16.5,(vco),,,,,
04/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2,(vco),,,,,
05/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.5,(vco),,,,,
09/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,8,(vco),,,,,
28/07/1985 09:00,,,12.8,(vco),,,,,,,,,,,,,,,,,,,,,,,0.9,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.7,(vco),,,,,
29/07/1985 09:00,,,6.5,(vco),,,,,,,,,,,,,,,,,,,,,,,8,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0.6,(vco),,,,,
30/07/1985 09:00,,,0.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/08/1985 09:00,,,7.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,3,(vco),,,,,
11/08/1985 09:00,,,3.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2.5,(vco),,,,,
12/08/1985 09:00,,,7.4,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,6,(vco),,,,,
13/08/1985 09:00,,,2.1,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/08/1985 09:00,,,3.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/08/1985 09:00,,,8.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.8,(vco),,,,,
25/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,1.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0.7,(vco),,,,,
26/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/09/1985 09:00,,,4.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/09/1985 09:00,,,3.6,(vco),,,,,,,,,,,,,,,,,,,,,,,0.9,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/09/1985 09:00,,,2.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
