SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,
29/08/1985 09:00,,,0,(vco),28,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/08/1985 09:00,,,0,(vco),24.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/09/1985 09:00,,,0,(vco),27.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/09/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/09/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/09/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/09/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/09/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/09/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/09/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/09/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/09/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/09/1985 09:00,,,0,(vco),27,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/09/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/09/1985 09:00,,,0,(vco),27,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/09/1985 09:00,,,0,(vco),28,(vau),,,,,0,(vco),,,,,,,2.1,(vco),,,,,,,0,(vco),,,,,
15/09/1985 09:00,,,0,(vco),28.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/09/1985 09:00,,,0,(vco),31.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/09/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/09/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/09/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/09/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/09/1985 09:00,,,3,(vco),19.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/09/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/09/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/09/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/09/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/09/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/09/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/09/1985 09:00,,,0,(vco),23,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/09/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/09/1985 09:00,,,0,(vco),24.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/10/1985 09:00,,,0,(vco),24.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/10/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/10/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/10/1985 09:00,,,0,(vco),20.5,(vau),,,,,0.5,(vco),,,,,,,0,(vco),,,,,,,2.4,(vco),,,,,
05/10/1985 09:00,,,0,(vco),18.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/10/1985 09:00,,,0,(vco),17.5,(vau),,,,,0,(vco),,,,,,,6.3,(vco),,,,,,,0,(vco),,,,,
07/10/1985 09:00,,,0,(vco),18.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/10/1985 09:00,,,0,(vco),18,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/10/1985 09:00,,,0,(vco),18,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/10/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/10/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/10/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/10/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/10/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/10/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/10/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/10/1985 09:00,,,0,(vco),20,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/10/1985 09:00,,,0,(vco),20,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/10/1985 09:00,,,0,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/10/1985 09:00,,,0,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/10/1985 09:00,,,0,(vco),20,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/10/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/10/1985 09:00,,,0,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/10/1985 09:00,,,0,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/10/1985 09:00,,,0,(vco),18,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/10/1985 09:00,,,0,(vco),17,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/10/1985 09:00,,,0,(vco),17,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/10/1985 09:00,,,0,(vco),15.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/10/1985 09:00,,,0,(vco),16,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/10/1985 09:00,,,0,(vco),16.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/10/1985 09:00,,,0,(vco),14,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/11/1985 09:00,,,0,(vco),14,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/11/1985 09:00,,,2.5,(vco),18,(vau),,,,,15.4,(vco),,,,,,,10.2,(vco),,,,,,,13.1,(vco),,,,,
03/11/1985 09:00,,,0,(vco),15,(vau),,,,,0.3,(vco),,,,,,,19.8,(vco),,,,,,,2.4,(vco),,,,,
04/11/1985 09:00,,,0.7,(vco),17,(vau),,,,,16.7,(vco),,,,,,,30.1,(vco),,,,,,,27.2,(vco),,,,,
05/11/1985 09:00,,,19.4,(vco),17.5,(vau),,,,,28.5,(vco),,,,,,,62.4,(vco),,,,,,,7.2,(vco),,,,,
06/11/1985 09:00,,,3.2,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,5.1,(vco),,,,,
07/11/1985 09:00,,,0,(vco),19.5,(vau),,,,,0,(vco),,,,,,,1.2,(vco),,,,,,,0,(vco),,,,,
08/11/1985 09:00,,,0,(vco),19.5,(vau),,,,,0,(vco),,,,,,,9.4,(vco),,,,,,,0,(vco),,,,,
09/11/1985 09:00,,,0,(vco),19.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/11/1985 09:00,,,0,(vco),17,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.4,(vco),,,,,
11/11/1985 09:00,,,0,(vco),16.5,(vau),,,,,4.2,(vco),,,,,,,14.6,(vco),,,,,,,9.4,(vco),,,,,
12/11/1985 09:00,,,0,(vco),15,(vau),,,,,26.2,(vco),,,,,,,17.1,(vco),,,,,,,23.2,(vco),,,,,
13/11/1985 09:00,,,0,(vco),8.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/11/1985 09:00,,,0,(vco),11,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
